settlement_date,ticker,company,market_class,shares_short,prev_shares_short,change_shares,change_pct,pct_outstanding,shares_outstanding,avg_daily_volume,days_to_cover,in_vault
2026-05-29,AAOI,"Applied Optoelectronics, Inc.",NNM,10036132,9333296,702836,7.53,12.51,80242767,10443084,1,true
2026-05-29,AAON,"AAON, Inc. Common Stock",NNM,4698837,5411843,-713006,-13.17,5.74,81911710,992194,4.74,true
2026-05-29,AEHR,Aehr Test Systems Common Stock,SC,4101815,4786767,-684952,-14.31,13.04,31453254,2322811,1.77,true
2026-05-29,ALAB,"Astera Labs, Inc. Common Stock",NNM,11906625,12417409,-510784,-4.11,6.95,171407939,7029384,1.69,true
2026-05-29,AMD,"Advanced Micro Devices, Inc. C",NNM,44067722,44696277,-628555,-1.41,2.7,1630600639,32145426,1.37,true
2026-05-29,AMPX,"Amprius Technologies, Inc.",NYSE,25637309,22692523,2944786,12.98,18.1,141627170,10894061,2.35,true
2026-05-29,AMZN,"Amazon.com, Inc. Common Stock",NNM,92450944,104283766,-11832822,-11.35,0.86,10757109436,38105083,2.43,true
2026-05-29,ANET,Arista Networks,NYSE,21269942,20888363,381579,1.83,1.69,1259202593,10072144,2.11,true
2026-05-29,ARM,Arm Holdings plc American Depo,NNM,18511799,18788059,-276260,-1.47,1.74,1064055252,12978732,1.43,true
2026-05-29,AVAV,"AeroVironment, Inc. Common Sto",NNM,4609551,4623597,-14046,-0.3,9.23,49933993,1521438,3.03,true
2026-05-29,AVGO,Broadcom Inc. Common Stock,NNM,58477285,53234237,5243048,9.85,1.23,4757580198,20370381,2.87,true
2026-05-29,AXTI,AXT Inc Common Stock,NNM,7297611,8263752,-966141,-11.69,11.15,65423184,8959671,1,true
2026-05-29,BE,Bloom Energy Corporation,NYSE,28556389,28998320,-441931,-1.52,10.04,284443868,10406884,2.74,true
2026-05-29,BWXT,"BWX Technologies, Inc.",NYSE,2691891,2917027,-225136,-7.72,2.94,91614649,849730,3.17,true
2026-05-29,CAT,Caterpillar Inc.,NYSE,8103454,8353937,-250483,-3,1.76,460637026,2766216,2.93,true
2026-05-29,CCJ,Cameco Corporation,NYSE,6195559,6003532,192027,3.2,1.42,435457978,2872212,2.16,true
2026-05-29,CEG,Constellation Energy Corporati,NNM,11593455,10532940,1060515,10.07,3.21,361190063,3110950,3.73,true
2026-05-29,COHR,Coherent Corp.,NYSE,7842738,8674309,-831571,-9.59,4.01,195639321,5379397,1.46,true
2026-05-29,COHU,"Cohu, Inc. Common Stock",NNM,7224193,6418683,805510,12.55,15.31,47175347,1599959,4.52,true
2026-05-29,CORZ,"Core Scientific, Inc. Common S",NNM,71854447,64071796,7782651,12.15,22.6,317885292,13254341,5.42,true
2026-05-29,CRDO,Credo Technology Group Holding,NNM,10279546,11200807,-921261,-8.22,5.51,186477898,7235882,1.42,true
2026-05-29,CRWV,"CoreWeave, Inc. Class A Common",NNM,54604588,51444662,3159926,6.14,,,26064506,2.09,true
2026-05-29,CSCO,"Cisco Systems, Inc. Common Sto",NNM,61949954,58968443,2981511,5.06,1.57,3941434665,26335950,2.35,true
2026-05-29,ENS,"EnerSys, Inc.",NYSE,1221654,1402558,-180904,-12.9,3.35,36517773,599981,2.04,true
2026-05-29,ETN,"Eaton Corporation, plc Ordinar",NYSE,9771004,9191584,579420,6.3,2.52,388300000,2681522,3.64,true
2026-05-29,FCEL,"FuelCell Energy, Inc. Common S",NNM,5400867,5470651,-69784,-1.28,7.99,67608173,12241596,1,true
2026-05-29,FLEX,Flex Ltd. Ordinary Shares,NNM,6583495,5867731,715764,12.2,1.8,366377923,6132841,1.07,true
2026-05-29,FLNC,"Fluence Energy, Inc. Class A C",NNM,24021966,25188102,-1166136,-4.63,,,8907683,2.7,true
2026-05-29,FN,Fabrinet,NYSE,2193135,2396449,-203314,-8.48,6.12,35829740,1051448,2.09,true
2026-05-29,GEV,GE Vernova Inc.,NYSE,9185172,8858093,327079,3.69,3.42,268719995,2609534,3.52,true
2026-05-29,GLW,Corning Incorporated,NYSE,21390269,21253158,137111,0.65,2.49,860637825,12568979,1.7,true
2026-05-29,GOOGL,Alphabet Inc. Class A Common S,NNM,82913646,82143498,770148,0.94,0.68,12116000000,29072375,2.85,true
2026-05-29,INOD,Innodata Inc. Common Stock,NNM,2578539,2913509,-334970,-11.5,7.9,32655358,1833210,1.41,true
2026-05-29,INTC,Intel Corporation Common Stock,NNM,134957829,141034491,-6076662,-4.31,2.69,5026000000,124879443,1.08,true
2026-05-29,KTOS,Kratos Defense & Security Solu,NNM,11657119,13099286,-1442167,-11.01,6.22,187519984,5013408,2.33,true
2026-05-29,LEU,Centrus Energy Corp.,NYSE,4155985,4246366,-90381,-2.13,30.39,13673933,804639,5.17,true
2026-05-29,LITE,Lumentum Holdings Inc. Common,NNM,10223904,9154609,1069295,11.68,13.14,77800000,5296411,1.93,true
2026-05-29,LSCC,Lattice Semiconductor Corporat,NNM,6251491,5357673,893818,16.68,4.56,137007857,2454445,2.55,true
2026-05-29,META,"Meta Platforms, Inc. Class A C",NNM,32270039,32148051,121988,0.38,,,14756390,2.19,true
2026-05-29,MKSI,MKS Inc. Common Stock,NNM,4424884,4329183,95701,2.21,6.55,67544129,1140671,3.88,true
2026-05-29,MOD,Modine Manufacturing Co,NYSE,2958055,3370226,-412171,-12.23,5.6,52815785,1786593,1.66,true
2026-05-29,MP,MP Materials Corp.,NYSE,28088299,27464416,623883,2.27,15.78,178022198,7030388,4,true
2026-05-29,MPWR,"Monolithic Power Systems, Inc.",NNM,2319453,1975414,344039,17.42,4.72,49130000,709701,3.27,true
2026-05-29,MRCY,Mercury Systems Inc Common Sto,NNM,4733680,4865616,-131936,-2.71,7.88,60043283,612397,7.73,true
2026-05-29,MRVL,"Marvell Technology, Inc. Commo",NNM,35215842,32247247,2968595,9.21,4.03,874800000,33133550,1.06,true
2026-05-29,MSFT,Microsoft Corporation Common S,NNM,88696120,77302679,11393441,14.74,1.19,7428434704,36733690,2.41,true
2026-05-29,MU,"Micron Technology, Inc. Common",NNM,37549121,35235443,2313678,6.57,3.33,1127734051,55527691,1,true
2026-05-29,NBIS,Nebius Group N.V. Class A Ordi,NNM,44297855,45099075,-801220,-1.78,17.51,253016971,17324903,2.56,true
2026-05-29,NOK,Nokia Corporation,NYSE,66369587,60403193,5966394,9.88,1.16,5742239696,110080073,1,true
2026-05-29,NOVT,Novanta Inc. Common Stock,NNM,4223070,4287892,-64822,-1.51,11.86,35611858,421932,10.01,true
2026-05-29,NOW,"SERVICENOW, INC.",NYSE,61047279,57943059,3104220,5.36,5.92,1031000000,38509723,1.59,true
2026-05-29,NVDA,NVIDIA Corporation Common Stoc,NNM,284722716,296966425,-12243709,-4.12,1.18,24200000000,180147142,1.58,true
2026-05-29,NVT,nVent Electric plc Ordinary Sh,NYSE,4816464,4084474,731990,17.92,2.98,161720452,1896601,2.54,true
2026-05-29,NVTS,Navitas Semiconductor Corporat,NNM,36101634,38452091,-2350457,-6.11,19.68,183457686,34232164,1.05,true
2026-05-29,ON,ON Semiconductor Corporation C,NNM,31242240,35104463,-3862223,-11,7.97,391903191,11188916,2.79,true
2026-05-29,ONTO,Onto Innovation Inc.,NYSE,1954433,1094718,859715,78.53,3.93,49743567,1562012,1.25,true
2026-05-29,ORCL,Oracle Corp,NYSE,34872175,36356379,-1484204,-4.08,1.21,2876046000,18527663,1.88,true
2026-05-29,OUST,"Ouster, Inc. Common Stock",NNM,5874730,6170420,-295690,-4.79,9.23,63672949,5990622,1,true
2026-05-29,PLAB,"Photronics, Inc. Common Stock",NNM,3729365,2944956,784409,26.64,6.32,58963698,2503660,1.49,true
2026-05-29,PLTR,Palantir Technologies Inc. Cla,NNM,69188922,70816470,-1627548,-2.3,2.89,2397133000,39114597,1.77,true
2026-05-29,POWI,"Power Integrations, Inc. Commo",NNM,4566868,4002506,564362,14.1,8.2,55719984,1749336,2.61,true
2026-05-29,SNDK,Sandisk Corporation Common Sto,NNM,9209981,9135603,74378,0.81,6.22,148089758,11220692,1,true
2026-05-29,TDY,Teledyne Technologies Incorpor,NYSE,1545905,1493574,52331,3.5,3.34,46329138,372636,4.15,true
2026-05-29,TSEM,Tower Semiconductor Ltd. Ordin,NNM,2900385,3274577,-374192,-11.43,2.58,112534404,2123739,1.37,true
2026-05-29,TSM,Taiwan Semiconductor Manufactu,NYSE,28282997,28779737,-496740,-1.73,0.11,25932524521,10830010,2.61,true
2026-05-29,VECO,Veeco Instruments Inc. Common,NNM,6200079,6115573,84506,1.38,10.16,61033485,1018700,6.09,true
2026-05-29,VIAV,Viavi Solutions Inc. Common St,NNM,12682120,13780289,-1098169,-7.97,5.42,233907870,7591873,1.67,true
2026-05-29,VICR,Vicor Corporation Common Stock,NNM,1561109,1550524,10585,0.68,5.79,26978949,835172,1.87,true
2026-05-29,VPG,"Vishay Precision Group, Inc.",NYSE,1173616,890974,282642,31.72,9.58,12256197,775109,1.51,true
2026-05-29,VRT,Vertiv Holdings Co Class A Com,NYSE,14310948,13569806,741142,5.46,3.73,384108816,6399072,2.24,true
